01	1	57840
01	2	229423
01	3	102492
01	4	72527
02	1	7344
02	2	19294
02	3	7702
02	4	4049
04	1	114626
04	2	263062
04	3	102596
04	4	76561
05	1	40714
05	2	124025
05	3	55515
05	4	36777
06	1	507963
06	2	1399449
06	3	535395
06	4	422624
08	1	49589
08	2	144565
08	3	62266
08	4	43015
09	1	35013
09	2	124044
09	3	57585
09	4	41491
10	1	9471
10	2	33395
10	3	15671
10	4	13100
11	1	6494
11	2	20727
11	3	6867
11	4	7909
12	1	214125
12	2	834596
12	3	388450
12	4	366837
13	1	99821
13	2	369640
13	3	191385
13	4	99281
15	1	11520
15	2	42477
15	3	15957
15	4	15858
16	1	12869
16	2	47078
16	3	25453
16	4	17433
17	1	136078
17	2	439920
17	3	200750
17	4	152434
18	1	71941
18	2	273811
18	3	117399
18	4	87088
19	1	31427
19	2	102202
19	3	51444
19	4	43134
20	1	37629
20	2	95235
20	3	42760
20	4	37564
21	1	48793
21	2	182033
21	3	77782
21	4	57916
22	1	61809
22	2	220314
22	3	89926
22	4	55582
23	1	13232
23	2	47602
23	3	24431
23	4	21002
24	1	53808
24	2	240361
24	3	103834
24	4	75602
25	1	68795
25	2	194300
25	3	99203
25	4	81008
26	1	104233
26	2	390208
26	3	187534
26	4	123504
27	1	41904
27	2	136587
27	3	65733
27	4	62926
28	1	47933
28	2	136351
28	3	64126
28	4	37507
29	1	67559
29	2	246589
29	3	113828
29	4	89349
30	1	6140
30	2	29046
30	3	12952
30	4	11827
31	1	16063
31	2	54260
31	3	23481
31	4	20305
32	1	31872
32	2	90580
32	3	46998
32	4	27592
33	1	5846
33	2	50210
33	3	25530
33	4	16553
34	1	74128
34	2	287129
34	3	146087
34	4	131572
35	1	23744
35	2	85898
35	3	33386
35	4	26035
36	1	185988
36	2	656990
36	3	331907
36	4	314422
37	1	117915
37	2	383141
37	3	186428
37	4	117534
38	1	5396
38	2	19817
38	3	10302
38	4	11273
39	1	141716
39	2	500959
39	3	222871
39	4	177077
40	1	47991
40	2	160107
40	3	73656
40	4	53343
41	1	49674
41	2	151791
41	3	66214
41	4	44714
42	1	118723
42	2	482981
42	3	228303
42	4	206935
44	1	12480
44	2	39103
44	3	17286
44	4	12472
45	1	63125
45	2	211062
45	3	102575
45	4	64872
46	1	6863
46	2	22074
46	3	12433
46	4	8411
47	1	85589
47	2	301967
47	3	139472
47	4	85921
48	1	342295
48	2	1013590
48	3	442050
48	4	281135
49	1	30409
49	2	64897
49	3	30616
49	4	24083
50	1	4930
50	2	15412
50	3	8721
50	4	8020
51	1	86798
51	2	343080
51	3	159610
51	4	91875
53	1	73533
53	2	222464
53	3	107040
53	4	76755
54	1	21731
54	2	93328
54	3	46582
54	4	31302
55	1	46785
55	2	175979
55	3	76929
55	4	75343
56	1	6247
56	2	20258
56	3	7914
56	4	6310
